id|id_tipo_mov|id_conto|data_ins|data_mov|dare_avere|importo|note
340|1|1|06/05/2021 19:19:29|06/05/2021|f|3|
341|1|2|06/05/2021 19:20:37|06/05/2021|f|62.55|
342|1|2|09/05/2021 23:38:23|07/05/2021|f|35|
343|1|2|09/05/2021 23:38:35|07/05/2021|f|7|
344|1|2|09/05/2021 23:51:48|05/05/2021|f|11.5|
345|1|2|09/05/2021 23:54:18|08/05/2021|f|12|
346|1|1|09/05/2021 23:54:53|08/05/2021|f|6.2|
347|5|2|10/05/2021 00:22:20|09/05/2021|f|5|
348|1|1|10/05/2021 22:40:08|10/05/2021|f|3|
349|1|2|17/05/2021 14:04:47|12/05/2021|f|12|
350|1|2|17/05/2021 14:05:04|12/05/2021|f|235|
351|1|1|17/05/2021 14:05:50|13/05/2021|f|2.5|
352|1|2|17/05/2021 14:06:21|13/05/2021|f|29.9|
353|1|2|17/05/2021 14:06:42|13/05/2021|f|55|
354|1|1|17/05/2021 14:09:05|14/05/2021|f|12.65|
355|1|2|17/05/2021 14:09:25|15/05/2021|f|13.98|
356|1|1|17/05/2021 14:09:51|15/05/2021|f|5|
357|1|2|17/05/2021 14:14:03|15/05/2021|f|16|
358|1|2|17/05/2021 14:14:25|16/05/2021|f|35|
359|1|2|17/05/2021 14:15:14|14/05/2021|f|4|
360|5|2|17/05/2021 14:15:31|14/05/2021|f|4|
362|1|4|18/05/2021 00:07:21|17/05/2021|f|5.5|
363|1|1|18/05/2021 00:08:57|17/05/2021|f|6.4|
364|1|1|19/05/2021 11:19:30|18/05/2021|f|7.4|
365|1|1|19/05/2021 11:19:48|18/05/2021|f|10|
366|1|1|19/05/2021 11:20:01|18/05/2021|f|45|
367|1|2|19/05/2021 11:47:46|14/05/2021|f|12|
368|5|2|19/05/2021 19:04:19|19/05/2021|f|17.6|
369|1|2|20/05/2021 02:27:31|19/05/2021|f|8|
370|1|1|21/05/2021 18:00:49|21/05/2021|f|4|
371|1|2|23/05/2021 15:54:27|21/05/2021|f|10|
372|1|2|23/05/2021 15:54:57|21/05/2021|f|6.2|
373|1|2|23/05/2021 15:55:16|21/05/2021|f|5|
374|1|2|23/05/2021 15:55:48|22/05/2021|f|9|
375|1|2|23/05/2021 15:56:07|22/05/2021|f|6.2|
376|1|2|23/05/2021 15:56:25|22/05/2021|f|8|
377|5|2|23/05/2021 15:56:48|22/05/2021|f|8|
378|1|2|24/05/2021 16:20:09|23/05/2021|f|15|
379|1|1|24/05/2021 16:24:23|23/05/2021|f|1.9|
381|6|1|25/05/2021 00:38:39|21/05/2021|t|4|[Saldo del credito DeC_4] 
382|6|1|25/05/2021 00:49:06|14/05/2021|t|5|[Saldo del credito DeC_3] 
383|6|2|25/05/2021 00:50:11|15/05/2021|t|1061|[Saldo del credito DeC_2] 
384|6|4|25/05/2021 00:50:27|20/05/2021|t|17.6|[Saldo del credito DeC_5] 
385|6|1|25/05/2021 00:50:40|23/05/2021|t|8|[Saldo del credito DeC_6] 
386|1|1|25/05/2021 01:04:07|24/05/2021|f|7.7|
387|1|2|26/05/2021 14:23:45|25/05/2021|f|10|
389|1|2|27/05/2021 11:59:39|26/05/2021|f|5|
390|1|2|28/05/2021 11:51:28|27/05/2021|f|10|
391|1|4|28/05/2021 11:51:48|27/05/2021|f|35|
392|1|2|29/05/2021 00:36:32|28/05/2021|f|10|
393|1|2|29/05/2021 00:36:47|28/05/2021|f|65|
394|1|2|29/05/2021 00:37:07|28/05/2021|f|20|
395|5|2|29/05/2021 15:38:50|28/05/2021|f|25|
397|1|2|30/05/2021 00:41:23|19/05/2021|f|30|
398|1|2|30/05/2021 00:43:32|19/05/2021|f|20|
399|1|2|01/06/2021 13:54:17|31/05/2021|f|16.48|
400|1|1|01/06/2021 13:54:39|31/05/2021|f|3|
401|1|2|01/06/2021 13:55:21|31/05/2021|f|20|
402|5|1|01/06/2021 13:55:43|31/05/2021|f|16|
403|5|2|01/06/2021 13:55:57|31/05/2021|f|16|
404|1|2|01/06/2021 13:56:26|01/06/2021|f|3|
405|1|4|10/06/2021 21:13:15|09/06/2021|f|7|
406|6|4|10/06/2021 21:13:29|09/06/2021|t|16|[Saldo del credito DeC_10] 
407|6|4|10/06/2021 21:13:39|09/06/2021|t|16|[Saldo del credito DeC_11] 
408|1|2|10/06/2021 21:18:28|10/06/2021|f|15|
409|1|2|12/06/2021 17:28:37|02/06/2021|f|9.2|
410|1|2|12/06/2021 17:28:55|11/06/2021|f|10|
411|1|1|13/06/2021 23:02:38|13/06/2021|f|6.2|
412|1|2|15/06/2021 02:01:19|15/06/2021|f|5|
413|1|2|16/06/2021 15:11:01|15/06/2021|f|4|
414|6|2|16/06/2021 15:11:13|15/06/2021|t|25|[Saldo del credito DeC_8] 
415|1|2|17/06/2021 02:41:45|17/06/2021|f|6|
416|1|4|17/06/2021 02:42:28|12/06/2021|f|10|
418|1|1|17/06/2021 03:05:11|17/06/2021|f|30|
419|1|2|18/06/2021 20:47:47|19/06/2021|f|8|
436|1|1|26/06/2021 02:00:15|26/06/2021|f|20|
